2025-02-25기준 3년 연속 배당금이 상승한 기업 리스트

한솔제지 : 600원 -> 700원 -> 500원 -> 500원 
웅진씽크빅 : 130원 -> 110원 -> 0원 -> 90원 
BNK금융지주 : 560원 -> 625원 -> 510원 -> 650원 
포스코스틸리온 : 1,000원 -> 875원 -> 1,615원 -> 2,160원 
삼양홀딩스 : 3,000원 -> 3,500원 -> 3,500원 -> 3,500원 
ESR켄달스퀘어리츠 : 262원 -> 270원 -> 272원 -> 274원 
부국증권 : 1,200원 -> 1,600원 -> 1,500원 -> 1,500원 
아이에스동서 : 1,200원 -> 0원 -> 1,500원 -> 1,000원 
다올투자증권 : 150원 -> 250원 -> 150원 -> 150원 
대한제당우 : 115원 -> 125원 -> 120원 -> 125원 
LG우 : 2,850원 -> 3,050원 -> 3,150원 -> 3,150원 
DL우 : 1,950원 -> 1,050원 -> 1,050원 -> 1,050원 
LX하우시스우 : 350원 -> 250원 -> 1,750원 -> 1,050원 
YW : 100원 -> 150원 -> 200원 -> 200원 
JB금융지주 : 599원 -> 835원 -> 855원 -> 995원 
SK디스커버리우 : 1,550원 -> 1,750원 -> 1,750원 -> 1,750원 
현대홈쇼핑 : 2,400원 -> 2,600원 -> 2,800원 -> 2,800원 
현대차증권 : 572원 -> 678원 -> 466원 -> 339원 
세보엠이씨 : 250원 -> 500원 -> 550원 -> 550원 
KCC글라스 : 2,400원 -> 2,400원 -> 2,200원 -> 1,800원 
HDC랩스 : 450원 -> 450원 -> 450원 -> 450원 
KX : 0원 -> 167원 -> 200원 -> 190원 
롯데지주 : 1,500원 -> 1,500원 -> 1,500원 -> 1,200원 
HL홀딩스 : 2,000원 -> 2,000원 -> 2,000원 -> 2,000원 
삼화페인트 : 100원 -> 250원 -> 400원 -> 350원 
NH투자증권 : 700원 -> 1,050원 -> 700원 -> 800원 
E1 : 2,200원 -> 3,600원 -> 5,150원 -> 3,450원 
KT&G : 0원 -> 0원 -> 5,200원 -> 5,400원 
신영증권 : 0원 -> 0원 -> 4,000원 -> 4,500원 
DGB금융지주 : 0원 -> 0원 -> 550원 -> 500원 
더네이쳐홀딩스 : 0원 -> 0원 -> 400원 -> 500원 
SK리츠 : 0원 -> 0원 -> 310원 -> 264원 
롯데칠성우 : 0원 -> 0원 -> 3,405원 -> 3,405원 
인천도시가스 : 0원 -> 0원 -> 1,250원 -> 1,250원 
경동제약 : 0원 -> 0원 -> 400원 -> 300원 
SNT홀딩스 : 0원 -> 0원 -> 800원 -> 1,600원 
미원화학 : 0원 -> 0원 -> 3,500원 -> 4,000원 
태경산업 : 0원 -> 0원 -> 270원 -> 250원 
네오팜 : 0원 -> 0원 -> 384원 -> 600원 
오리온홀딩스 : 0원 -> 0원 -> 750원 -> 800원 
위닉스 : 0원 -> 0원 -> 300원 -> 300원 
서울가스 : 0원 -> 0원 -> 2,250원 -> 2,500원 
스톤브릿지벤처스 : 0원 -> 0원 -> 300원 -> 200원 
삼성생명 : 0원 -> 0원 -> 3,700원 -> 4,500원 
한국가구 : 0원 -> 0원 -> 175원 -> 205원 
기신정기 : 0원 -> 0원 -> 150원 -> 120원 
한화손해보험 : 0원 -> 0원 -> 0원 -> 200원 
